sf|cc|mf|ld|ci|bu|rn|Field|Short|Medium|Long|mh
1|1|1|0|0|0|0|EXTERIOR|L|STUC|Stucco|1
1|1|0|0|0|0|0|EXTERIOR|M|OTHR|Other (See Remarks)|1
0|0|1|0|0|0|0|EXTERIOR|M||Varies per Unit|0
0|0|1|0|0|0|0|EXTERIOR|N||Other (See Remarks)|0
1|1|1|0|0|0|0|EXTERIOR|O||Redwood|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|1||Gazebo|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|10||Pool - Above Ground Heated|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|11||Pool - Inground Heated|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|12||Porch - Screened|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|13||Fruit Trees|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|14||Garden Area|1
1|0|0|0|0|0|0|EXTERIOR_FEATURES|15||Guest House|0
1|0|0|0|0|0|0|EXTERIOR_FEATURES|16||Horses Permitted|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|17||Invisible Fence|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|18||Kennel|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|19||Outdoor Shower|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|2||Deck - Roof|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|20||Solar Powered Area Lighting|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|21||Stone Wall|1
0|0|0|0|0|0|1|EXTERIOR_FEATURES|22||Deck - Access Rights|0
1|0|1|0|0|0|1|EXTERIOR_FEATURES|23||Cistern Water Storage|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|24||ET Irrigation Controller|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|3||City View(s)|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|4||Integrated Pest Management|1
0|0|0|0|0|0|1|EXTERIOR_FEATURES|5||Deck - Roof + Access Rights|0
1|0|1|0|0|0|1|EXTERIOR_FEATURES|6||Drought Tolerant/Water Conserving Landscaping|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|7||Deck - Wood|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|8||Deck - Vinyl|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|9||Deck - Composite|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|A||Porch|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|B||Porch - Enclosed|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|C||Deck|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|D||Patio|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|E||Patio - Enclosed|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|F||Covered Patio/Deck|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|G||Balcony|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|H||Pool - Inground|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|I||Pool - Above Ground|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|J||Cabana|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|K||Tennis Court|1
0|0|1|0|0|0|0|EXTERIOR_FEATURES|L||Handicap Access|0
1|0|1|0|0|0|1|EXTERIOR_FEATURES|M||Gutters|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|N||Hot Tub/Spa|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|O||Storage Shed|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|P||Barn/Stable|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|Q||Paddock|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|R||Greenhouse|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|S||Professional Landscaping|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|T||Sprinkler System|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|U||Decorative Lighting|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|V||Screens|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|W||Fenced Yard|1
1|0|1|0|0|0|1|EXTERIOR_FEATURES|X||Satellite Dish|1
1|0|0|0|0|0|1|EXTERIOR_FEATURES|Y||Other (See Remarks)|1
0|0|1|0|0|0|0|EXTERIOR_FEATURES|Y||Varies per Unit|0
0|0|1|0|0|0|0|EXTERIOR_FEATURES|Z||Other (See Remarks)|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|1||Deck - Vinyl|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|10||ET Irrigation Controller|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|11||Greenhouse|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|12||Gutters|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|13||Horses Permitted|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|14||Professional Landscaping|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|15||Sprinkler System|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|16||Stone Wall|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|17||Tennis Court|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|2||Deck - Composite|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|3||Paddock|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|4||Deck - Roof + Access Rights|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|5||Screens|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|6||Satellite Dish|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|7||Deck - Access Rights|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|8||Cistern Water Storage|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|9||Porch - Screened|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|A||Porch|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|B||Porch - Enclosed|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|C||Deck|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|D||Patio|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|E||Patio - Enclosed|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|F||Covered Patio/Deck|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|G||Balcony|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|H||Handicap Access|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|I||Hot Tub/Spa|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|J||Storage Shed|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|K||Decorative Lighting|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|L||Other (See Remarks)|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|M||Deck - Roof|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|N||Barn/Stable|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|O||City View(s)|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|P||Fenced Yard|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|Q||Fruit Trees|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|R||Garden Area|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|S||Gazebo|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|T||Integrated Pest Management|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|U||Invisible Fence|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|V||Kennel|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|W||Outdoor Shower|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|X||Solar Powered Area Lighting|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|Y||Drought Tolerant/Water Conserving Landscaping|0
0|1|0|0|0|0|0|EXTERIOR_UNIT_FEATURES|Z||Deck - Wood|0
0|0|0|0|0|1|0|FACILITIES|A||Kitchen|0
0|0|0|0|0|1|0|FACILITIES|B||Vault|0
0|0|0|0|0|1|0|FACILITIES|C||Conference|0
0|0|0|0|0|1|0|FACILITIES|D||Lobby|0
0|0|0|0|0|1|0|FACILITIES|E||Lounge|0
0|0|0|0|0|1|0|FACILITIES|F||Exercise|0
0|0|0|0|0|1|0|FACILITIES|G||Locker|0
0|0|0|0|0|1|0|FACILITIES|H||Meeting|0
0|0|0|0|0|1|0|FACILITIES|I||Office|0
0|0|0|0|0|1|0|FACILITIES|J||Other (See Remarks)|0
1|1|1|0|0|0|1|FACING_DIRECTION|A||North|1
1|1|1|0|0|0|1|FACING_DIRECTION|B||South|1
1|1|1|0|0|0|1|FACING_DIRECTION|C||East|1
1|1|1|0|0|0|1|FACING_DIRECTION|D||West|1
1|1|1|0|0|0|1|FACING_DIRECTION|E||Northeast|1
1|1|1|0|0|0|1|FACING_DIRECTION|F||Northwest|1
1|1|1|0|0|0|1|FACING_DIRECTION|G||Southeast|1
1|1|1|0|0|0|1|FACING_DIRECTION|H||Southwest|1
1|1|1|0|0|0|1|FACING_DIRECTION|U||Unknown|1
0|1|0|0|0|0|0|FEE_INTERVAL|A||Monthly|0
0|1|0|0|0|0|0|FEE_INTERVAL|B||Yearly|0
0|1|0|0|0|0|0|FEE_INTERVAL|U||Unknown|0
1|1|1|1|1|1|1|FIN_CODE|1||FHA|1
1|1|1|1|1|1|1|FIN_CODE|10||FHA ARM|1
1|1|1|1|1|1|1|FIN_CODE|11||Private|1
1|1|1|1|1|1|1|FIN_CODE|12||Bond|1
1|1|1|1|1|1|1|FIN_CODE|13||Exchange or Trade|1
1|1|1|1|1|1|1|FIN_CODE|14||Other|1
1|1|1|1|1|1|1|FIN_CODE|2||VA|1
1|1|1|1|1|1|1|FIN_CODE|3||FHVA|1
1|1|1|1|1|1|1|FIN_CODE|4||Assumption|1
1|1|1|1|1|1|1|FIN_CODE|5||Conv. Fixed|1
1|1|1|1|1|1|1|FIN_CODE|6||Cash|1
1|1|1|1|1|1|1|FIN_CODE|7||Withheld|1
1|1|1|1|1|1|1|FIN_CODE|8||Conv. ARM|1
1|1|1|1|1|1|1|FIN_CODE|9||Assume Conv.|1
0|0|0|0|0|0|1|FIRST_MON_REQD|N||No|0
0|0|0|0|0|0|1|FIRST_MON_REQD|U||Unknown|0
0|0|0|0|0|0|1|FIRST_MON_REQD|Y||Yes|0
1|1|1|0|0|0|0|FLOORING|A||Wood|1
1|1|1|0|0|0|0|FLOORING|B||Plywood|1
1|1|1|0|0|0|0|FLOORING|C||Tile|1
1|1|1|0|0|0|0|FLOORING|D||Vinyl|1
1|1|1|0|0|0|0|FLOORING|E||Wall to Wall Carpet|1
1|1|1|0|0|0|0|FLOORING|F||Concrete|1
1|1|0|0|0|0|0|FLOORING|G||Other (See Remarks)|1
0|0|1|0|0|0|0|FLOORING|G||Varies Per Unit|0
0|0|1|0|0|0|0|FLOORING|H||Other (See Remarks)|0
1|1|1|0|0|0|0|FLOORING|I||Laminate|1
1|1|1|0|0|0|0|FLOORING|J||Marble|1
1|1|1|0|0|0|0|FLOORING|K||Bamboo|1
1|1|1|0|0|0|0|FLOORING|L||Eucalyptus|1
1|1|1|0|0|0|0|FLOORING|M||Hardwood|1
1|1|1|0|0|0|0|FLOORING|N||Particle Board|1
1|1|1|0|0|0|0|FLOORING|O||Pine|1
1|1|1|0|0|0|0|FLOORING|P||Recycled Wood|1
1|1|1|0|0|0|0|FLOORING|Q||Stone / Slate|1
1|1|1|0|0|0|0|FLOORING|R||Vinyl / VTC|1
1|1|1|0|0|0|0|FLOORING|S||Wood Laminate|1
1|1|1|0|0|0|0|FLOORING|T||Parquet|1
0|0|0|0|0|0|1|FOR_SALE|N||No|0
0|0|0|0|0|0|1|FOR_SALE|Y||Yes|0
0|0|0|0|0|1|0|FORM|A||Corporation|0
0|0|0|0|0|1|0|FORM|B||Sub S Corporation|0
0|0|0|0|0|1|0|FORM|C||Partnership|0
0|0|0|0|0|1|0|FORM|D||Sole Owner|0
0|0|0|0|0|1|0|FORM|E||Other (See Remarks)|0
1|0|1|0|0|0|0|FOUNDATION|A|PCNC|Poured Concrete|1
1|0|1|0|0|0|0|FOUNDATION|B|CNCB|Concrete Block|1
1|0|1|0|0|0|0|FOUNDATION|C|FSTN|Fieldstone|1
1|0|1|0|0|0|0|FOUNDATION|D|BRCK|Brick|1
1|0|1|0|0|0|0|FOUNDATION|E|GRAN|Granite|1
1|0|1|0|0|0|0|FOUNDATION|F|SLAB|Slab|1
1|0|1|0|0|0|0|FOUNDATION|G|OTHR|Other (See Remarks)|1
1|0|1|0|0|0|0|FOUNDATION|H||Irregular|1
0|0|0|0|0|0|1|FURNISHED|N||No|0
0|0|0|0|0|0|1|FURNISHED|P||Partial|0
0|0|0|0|0|0|1|FURNISHED|U||Unknown|0
0|0|0|0|0|0|1|FURNISHED|Y||Yes|0
1|1|0|0|0|0|1|GARAGE_PARKING|A|ATTD|Attached|1
1|1|0|0|0|0|1|GARAGE_PARKING|B|DETD|Detached|1
1|1|0|0|0|0|1|GARAGE_PARKING|C|UNDR|Under|1
1|1|0|0|0|0|1|GARAGE_PARKING|D|CRPT|Carport|1
1|1|0|0|0|0|1|GARAGE_PARKING|E|GDOP|Garage Door Opener|1
1|1|0|0|0|0|1|GARAGE_PARKING|F|HEAT|Heated|1
1|1|0|0|0|0|1|GARAGE_PARKING|G|STRG|Storage|1
1|1|0|0|0|0|1|GARAGE_PARKING|H|WKAR|Work Area|1
0|1|0|0|0|0|1|GARAGE_PARKING|I||Deeded|0
0|1|0|0|0|0|1|GARAGE_PARKING|J||Assigned|0
0|1|0|0|0|0|1|GARAGE_PARKING|K||Common|0
1|1|0|0|0|0|1|GARAGE_PARKING|L||Side Entry|1
1|1|0|0|0|0|1|GARAGE_PARKING|M||Insulated|1
1|1|0|0|0|0|1|GARAGE_PARKING|N||Carriage Shed|1
1|1|0|0|0|0|1|GARAGE_PARKING|O||Barn|1
0|0|0|1|0|0|0|GAS|A||On-Site|0
0|0|0|1|0|0|0|GAS|B||At Street|0
0|0|0|1|0|0|0|GAS|C||Nearby|0
0|0|0|1|0|0|0|GAS|D||None|0
0|0|0|1|0|0|0|GAS|E||Other (See Remarks)|0
1|1|1|0|0|0|0|GREEN_CERTIFICATION|A||Energy Star Home Certified|1
1|1|1|0|0|0|0|GREEN_CERTIFICATION|B||LEED Certified|1
1|1|1|0|0|0|0|GREEN_CERTIFICATION|C||National Green Building Standard|1
1|1|1|0|0|0|0|GREEN_CERTIFICATION|D||Other (See Remarks)|1
1|1|1|0|0|0|0|GREEN_CERTIFIED|N||No|1
1|1|1|0|0|0|0|GREEN_CERTIFIED|U||Unknown|1
1|1|1|0|0|0|0|GREEN_CERTIFIED|Y||Yes|1
1|1|0|0|1|1|1|HANDICAP_ACCESS|N||No|1
1|1|0|0|1|1|1|HANDICAP_ACCESS|U||Unknown|1
1|1|0|0|1|1|1|HANDICAP_ACCESS|Y||Yes|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|A||Adj. Height Sink-No Cabinets Blw|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|B||Chair Lift|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|C||Handicap Fixtures|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|D||Elevator|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|E||Extra Wide Shower|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|F||Extra Wide Doors|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|G||Extra Wide Halls|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|H||Flat Thresholds|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|I||Handicap Access ONLY|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|J||Handicap Door Handles|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|K||Handicap Equipped|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|L||Low Pile Carpet|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|M||Lowered Light Switches|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|N||Pool Lift|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|O||Raised Toilet|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|P||Ramp(s)/No Steps|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|Q||Ramp(s)/Level Entrance|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|R||Ramp(s)/Level From Garage|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|S||Reserved Parking|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|T||Rocker Light Switch|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|U||Roll Under Counter(s)|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|V||Roll-in Shower|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|W||Single Level|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|X||Tub/Shower Grab Assist Bars|1
1|1|0|0|0|0|1|HANDICAP_AMENITIES|Y||Walk-in Tub|1
0|0|0|0|0|0|1|HEATING|1||Wall Unit|0
1|1|1|0|0|0|0|HEATING|1||Wind|1
0|1|1|0|0|0|0|HEATING|2||Floor Furnace|0
0|0|0|0|0|0|1|HEATING|2||Space Heater|0
0|0|0|0|0|0|1|HEATING|3||Radiant|0
0|1|1|0|0|0|0|HEATING|3||Hot Air Gravity|0
0|0|0|0|0|0|1|HEATING|4||Wind|0
0|1|1|0|0|0|0|HEATING|4||Humidifier|0
0|1|1|0|0|0|0|HEATING|5||Propane|0
0|0|0|0|0|0|1|HEATING|5||Fan Coil|0
0|1|1|0|0|0|0|HEATING|6||Space Heater|0
0|1|1|0|0|0|0|HEATING|7||Radiant|0
1|1|1|0|0|0|0|HEATING|A|CNHT|Central Heat|1
0|0|0|0|0|0|1|HEATING|A||Electric|0
1|1|1|0|0|0|0|HEATING|B|FRAR|Forced Air|1
0|0|0|0|0|0|1|HEATING|B||Oil|0
0|0|0|0|0|0|1|HEATING|C||Gas|0
1|0|0|0|0|0|0|HEATING|C|GRAV|Hot Air Gravity|1
0|1|1|0|0|0|0|HEATING|C||Hot Water Baseboard|0
0|1|1|0|0|0|0|HEATING|D||Electric Baseboard|0
1|0|0|0|0|0|0|HEATING|D|HWBB|Hot Water Baseboard|1
0|0|0|0|0|0|1|HEATING|D||Other (See Remarks)|0
1|0|0|0|0|0|0|HEATING|E|ELBB|Electric Baseboard|1
0|1|1|0|0|0|0|HEATING|E||Hot Water Radiators|0
0|0|0|0|0|0|1|HEATING|E||Active Solar|0
0|0|0|0|0|0|1|HEATING|F||Central Heat|0
1|0|0|0|0|0|0|HEATING|F|HWRD|Hot Water Radiators|1
0|1|1|0|0|0|0|HEATING|F||Steam|0
0|1|1|0|0|0|0|HEATING|G||Heat Pump|0
1|0|0|0|0|0|0|HEATING|G|STEM|Steam|1
0|0|0|0|0|0|1|HEATING|G||Common|0
0|0|0|0|0|0|1|HEATING|H||Electric Baseboard|0
0|1|1|0|0|0|0|HEATING|H||Oil|0
1|0|0|0|0|0|0|HEATING|H|RADT|Radiant|1
0|1|1|0|0|0|0|HEATING|I||Gas|0
1|0|0|0|0|0|0|HEATING|I|HPMP|Heat Pump|1
0|0|0|0|0|0|1|HEATING|I||Extra Flue|0
0|0|0|0|0|0|1|HEATING|J||Forced Air|0
0|1|1|0|0|0|0|HEATING|J||Electric|0
1|0|0|0|0|0|0|HEATING|J|SPHT|Space Heater|1
1|0|0|0|0|0|0|HEATING|K|FLFN|Floor Furnace|1
0|1|1|0|0|0|0|HEATING|K||Wood|0
0|0|0|0|0|0|1|HEATING|K||Floor Furnace|0
0|0|0|0|0|0|1|HEATING|L||Ground Source Heat Pump|0
0|1|1|0|0|0|0|HEATING|L||Common|0
1|0|0|0|0|0|0|HEATING|L|HUMD|Humidifier|1
0|1|1|0|0|0|0|HEATING|M||Individual|0
1|0|0|0|0|0|0|HEATING|M|OIL|Oil|1
0|0|0|0|0|0|1|HEATING|M||Geothermal Heat Source|0
0|0|0|0|0|0|1|HEATING|N||Hot Air Gravity|0
1|0|0|0|0|0|0|HEATING|N|GAS|Gas|1
0|1|1|0|0|0|0|HEATING|N||Unit Control|0
1|0|0|0|0|0|0|HEATING|O|ELEC|Electric|1
0|1|1|0|0|0|0|HEATING|O||Wall Unit|0
0|0|0|0|0|0|1|HEATING|O||Hot Water Baseboard|0
0|0|0|0|0|0|1|HEATING|P||Hot Water Radiators|0
0|1|1|0|0|0|0|HEATING|P||Fan Coil|0
1|0|0|0|0|0|0|HEATING|P|PROP|Propane|1
0|1|1|0|0|0|0|HEATING|Q||Extra Flue|0
1|0|0|0|0|0|0|HEATING|Q|WOOD|Wood|1
0|0|0|0|0|0|1|HEATING|Q||Hydro Air|0
0|0|0|0|0|0|1|HEATING|R||Heat Pump|0
1|0|0|0|0|0|0|HEATING|R|FLUE|Extra Flue|1
0|1|1|0|0|0|0|HEATING|R||Other (See Remarks)|0
0|1|1|0|0|0|0|HEATING|S||None|0
1|0|0|0|0|0|0|HEATING|S|OTHR|Other (See Remarks)|1
0|0|0|0|0|0|1|HEATING|S||Humidifier|0
0|0|0|0|0|0|1|HEATING|T||Hydronic Floor Heat(Radiant)|0
0|0|1|0|0|0|0|HEATING|T||Geothermal Heat Pump|0
1|0|0|0|0|0|0|HEATING|T|NONE|None|1
1|1|1|0|0|0|0|HEATING|U||Hydro Air|1
0|0|0|0|0|0|1|HEATING|U||Individual|0
0|0|0|0|0|0|1|HEATING|V||None|0
1|1|0|0|0|0|0|HEATING|V||Geothermal Heat Source|1
0|0|0|0|0|0|1|HEATING|W||Passive Solar|0
1|1|1|0|0|0|0|HEATING|W||Active Solar|1
1|1|1|0|0|0|0|HEATING|X||Ground Source Heat Pump|1
0|0|0|0|0|0|1|HEATING|X||Propane|0
0|0|0|0|0|0|1|HEATING|Y||Steam|0
1|1|1|0|0|0|0|HEATING|Y||Hydronic Floor Heat(Radiant)|1
1|1|1|0|0|0|0|HEATING|Z||Passive Solar|1
0|0|0|0|0|0|1|HEATING|Z||Unit Control|0
1|0|0|1|0|0|0|HOME_OWN_ASSOCIATION|N||No|1
1|0|0|1|0|0|0|HOME_OWN_ASSOCIATION|U||Unknown|1
1|0|0|1|0|0|0|HOME_OWN_ASSOCIATION|Y||Yes|1
1|1|1|0|0|0|0|HOT_WATER|A||Oil|1
1|1|1|0|0|0|0|HOT_WATER|B||Natural Gas|1
1|1|1|0|0|0|0|HOT_WATER|C||Electric|1
1|1|1|0|0|0|0|HOT_WATER|D||Propane Gas|1
1|1|1|0|0|0|0|HOT_WATER|E||Solar|1
1|1|1|0|0|0|0|HOT_WATER|F||Tank|1
1|1|1|0|0|0|0|HOT_WATER|G||Tankless|1
1|1|1|0|0|0|0|HOT_WATER|H||Separate Booster|1
1|1|1|0|0|0|0|HOT_WATER|I||Leased Heater|1
1|1|0|0|0|0|0|HOT_WATER|J||Other (See Remarks)|1
0|0|1|0|0|0|0|HOT_WATER|J||Varies Per Unit|0
0|0|1|0|0|0|0|HOT_WATER|K||Other (See Remarks)|0
0|0|1|0|0|0|0|HOT_WATER|L||Solar Water Heating|0
1|1|1|1|1|1|1|HOW_SHOWN|A||Call List Office|1
1|1|1|1|0|0|1|HOW_SHOWN|B||Owner|1
1|1|1|1|1|1|1|HOW_SHOWN|C||Call List Agent|1
1|1|1|0|0|0|1|HOW_SHOWN|D||Call Tenant|1
1|1|1|0|0|0|1|HOW_SHOWN|E||Lock Box|1
1|1|1|0|0|0|1|HOW_SHOWN|F||Key in Office|1
1|1|1|1|0|0|1|HOW_SHOWN|G||Go Direct|1
1|1|1|1|0|0|1|HOW_SHOWN|H||Accompanied Showings|1
1|1|1|1|0|0|1|HOW_SHOWN|I||Appointment Required|1
1|1|1|1|0|0|1|HOW_SHOWN|J||Sign|1
1|1|1|1|1|1|1|HOW_SHOWN|K||Call MAPASS at 508-389-1780|1
1|1|1|1|1|1|1|HOW_SHOWN|L||Other (See Special Showing Instructions)|1
1|1|1|1|1|1|1|HOW_SHOWN|M||Call Centralized Showing Service at 888-866-8388|1
1|1|1|0|0|0|1|HOW_SHOWN|N||Pets on Premises|1
0|0|0|0|1|1|0|HOW_SHOWN|O||Accompanied Showings|0
0|0|0|0|1|1|0|HOW_SHOWN|P||Appointment Required|0
0|0|0|0|1|0|0|HOW_SHOWN|Q||Call Tenant|0
0|0|0|0|1|0|0|HOW_SHOWN|R||Go Direct|0
0|0|0|0|1|0|0|HOW_SHOWN|S||Key in Office|0
0|0|0|0|1|1|0|HOW_SHOWN|T||Lockbox|0
0|0|0|0|1|0|0|HOW_SHOWN|U||Owner|0
0|0|0|0|1|1|0|HOW_SHOWN|V||Sign|0
1|1|1|1|1|1|0|HOW_SHOWN_BB|A||Call List Office|1
0|0|0|0|1|1|0|HOW_SHOWN_BB|B||Call List Agent|0
1|1|1|1|0|0|0|HOW_SHOWN_BB|B||Owner|1
1|1|1|1|0|0|0|HOW_SHOWN_BB|C||Call List Agent|1
0|0|0|0|1|1|0|HOW_SHOWN_BB|C||Other (See Remarks)|0
0|0|0|0|1|1|0|HOW_SHOWN_BB|D||Call MA-Pass at 508-389-1780|0
1|1|1|0|0|0|0|HOW_SHOWN_BB|D||Call Tenant|1
0|0|0|1|0|0|0|HOW_SHOWN_BB|D||Go Direct|0
0|0|0|1|0|0|0|HOW_SHOWN_BB|E||Accompanied Showings|0
1|1|1|0|0|0|0|HOW_SHOWN_BB|E||Lock Box|1
0|0|0|1|0|0|0|HOW_SHOWN_BB|F||Appointment Required|0
1|1|1|0|0|0|0|HOW_SHOWN_BB|F||Key in Office|1
1|1|1|0|0|0|0|HOW_SHOWN_BB|G||Go Direct|1
0|0|0|1|0|0|0|HOW_SHOWN_BB|G||Sign|0
1|1|1|0|0|0|0|HOW_SHOWN_BB|H||Accompanied Showings|1
0|0|0|1|0|0|0|HOW_SHOWN_BB|H||Call MA-Pass at 508-389-1780|0
1|1|1|0|0|0|0|HOW_SHOWN_BB|I||Appointment Required|1
1|1|1|0|0|0|0|HOW_SHOWN_BB|J||Sign|1
1|1|1|0|0|0|0|HOW_SHOWN_BB|K||Call MA-Pass at 508-389-1780|1
1|1|1|1|1|1|0|HOW_SHOWN_SB|A||Call List Office|1
0|0|0|0|1|1|0|HOW_SHOWN_SB|B||Call List Agent|0
1|1|1|1|0|0|0|HOW_SHOWN_SB|B||Owner|1
1|1|1|1|0|0|0|HOW_SHOWN_SB|C||Call List Agent|1
0|0|0|0|1|1|0|HOW_SHOWN_SB|C||Other (See Remarks)|0
0|0|0|0|1|1|0|HOW_SHOWN_SB|D||Call MA-Pass at 508-389-1780|0
1|1|1|0|0|0|0|HOW_SHOWN_SB|D||Call Tenant|1
0|0|0|1|0|0|0|HOW_SHOWN_SB|D||Go Direct|0
0|0|0|1|0|0|0|HOW_SHOWN_SB|E||Accompanied Showings|0
1|1|1|0|0|0|0|HOW_SHOWN_SB|E||Lock Box|1
0|0|0|1|0|0|0|HOW_SHOWN_SB|F||Appointment Required|0
1|1|1|0|0|0|0|HOW_SHOWN_SB|F||Key in Office|1
1|1|1|0|0|0|0|HOW_SHOWN_SB|G||Go Direct|1
